StudentID,AssessmentItemID,Correct,Difficulty,TimeStarted,TimeTaken
Y11sa01,MSI06S01A01T20160229111234t1,TRUE,1,20160229111229,4
Y11sa01,MSI06S01A01T20160229111239t1,TRUE,1,20160229111235,4
Y11sa01,MSI06S01A01T20160229111242t1,TRUE,1,20160229111240,2
Y11sa01,MSI06S01A01T20160229111254t4,TRUE,1,20160229111243,10
Y11sa01,MSI06S01A01T20160229111302t4,TRUE,2,20160229111255,7
Y11sa01,MSI06S01A01T20160229111310t1,TRUE,2,20160229111303,6
Y11sa01,MSI06S01A01T20160229111317t3,TRUE,2,20160229111311,5
Y11sa01,MSI06S01A01T20160229111326t4,TRUE,2,20160229111318,8
Y11sa01,MSI06S01A01T20160229111341t3,TRUE,2,20160229111327,13
Y11sa01,MMEN06S01A01T20160301222630t1,TRUE,1,20160301222542,48
Y11sa01,MMEN06S01A01T20160301222712t4,TRUE,1,20160301222636,35
Y11sa01,MMEN06S01A01T20160301222723t4,TRUE,1,20160301222713,10
Y11sa01,MMEN06S01A01T20160301222735t1,TRUE,1,20160301222724,10
Y11sa01,MMEN06S01A01T20160301222750t2,FALSE,1,20160301222741,9
Y11sa01,MMEN06S01A01T20160301222756t2,FALSE,1,20160301222752,3
Y11sa01,MMEN06S01A01T20160301222809t4,TRUE,1,20160301222759,10
Y11sa01,MMEN06S01A01T20160301222819t3,TRUE,1,20160301222810,8
Y11sa01,MMEN06S01A01T20160301222902t4,TRUE,1,20160301222846,16
Y11sa01,MMEN06S01A01T20160301222934t2,TRUE,1,20160301222903,30
Y11sa01,MMEN06S01A01T20160301222939t3,TRUE,1,20160301222935,4
Y11sa01,MMEN06S01A01T20160301222954t4,TRUE,1,20160301222940,14
Y11sa01,MMEN06S01A01T20160301223005t4,TRUE,1,20160301222955,9
Y11sa01,MMEN06S01A01T20160301223018t4,TRUE,1,20160301223006,12
Y11sa01,MMEN06S01A01T20160301223032t4,TRUE,1,20160301223019,12
Y11sa01,MMEN06S01A01T20160301223105t4,TRUE,2,20160301223033,32
Y11sa01,MMEN06S01A01T20160301223115t1,FALSE,2,20160301223106,8
Y11sa01,MMEN06S01A01T20160301223155t2,FALSE,2,20160301223117,38
Y11sa01,MMEN06S01A01T20160301223225t3,TRUE,2,20160301223158,26
Y11sa01,MMEN06S01A01T20160301223247t1,FALSE,2,20160301223226,21
Y11sa01,MMEN06S01A01T20160301223300t3,TRUE,2,20160301223250,9
Y11sa01,MMEN06S01A01T20160301223319t2,TRUE,2,20160301223301,18
Y11sa01,MMEN06S01A01T20160301223329t3,TRUE,2,20160301223320,9
Y11sa01,MMEN06S01A01T20160301223341t2,TRUE,2,20160301223330,10
Y11sa01,MMEN06S01A01T20160301223407t4,FALSE,2,20160301223342,24
Y11sa01,MMEN06S01A01T20160301223422t3,FALSE,2,20160301223409,12
Y11sa01,MMEN06S01A01T20160301223443t1,TRUE,2,20160301223424,19
Y11sa01,MMEN06S01A01T20160301223522t4,FALSE,2,20160301223444,37
Y11sa01,MMEN06S01A01T20160301223639t2,TRUE,2,20160301223619,20
Y11sa01,MMEN06S01A01T20160301223648t2,FALSE,2,20160301223640,8
Y11sa01,MMEN06S01A01T20160301223844t2,FALSE,2,20160301223729,74
Y11sa01,MMEN06S01A01T20160301223926t3,TRUE,2,20160301223846,39
Y11sa01,MMEN06S01A01T20160301223959t1,TRUE,2,20160301223927,32
Y11sa01,MMEN06S01A01T20160301224005t1,TRUE,2,20160301224000,5
Y11sa01,MMEN06S01A01T20160301224034t4,FALSE,2,20160301224006,27
Y11sa01,MMEN06S01A01T20160301224052t2,TRUE,2,20160301224036,16
Y11sa01,MMEN06S01A01T20160301224102t1,TRUE,2,20160301224054,8
Y11sa01,MMEN06S01A01T20160301224115t1,TRUE,2,20160301224103,12
Y11sa01,MMEN06S01A01T20160301224121t3,TRUE,2,20160301224116,4
Y11sa01,MMEN06S01A01T20160301224131t1,TRUE,2,20160301224122,9
Y11sa01,MMEN06S01A01T20160301224136t1,TRUE,2,20160301224132,4
Y11sa01,MMEN06S01A01T20160301224201t4,TRUE,2,20160301224137,23
Y11sa01,MMEN06S01A01T20160301224218t2,TRUE,3,20160301224202,15
Y11sa01,MMEN06S01A01T20160301224323t1,TRUE,3,20160301224219,64
Y11sa01,MMEN06S01A01T20160301224404t2,TRUE,3,20160301224329,34
Y11sa01,MMEN06S01A01T20160301224445t1,FALSE,3,20160301224405,39
Y11sa01,MMEN06S01A01T20160301224518t1,FALSE,3,20160301224447,30
Y11sa01,MMEN06S01A01T20160301224546t2,TRUE,3,20160301224521,25
Y11sa01,MMEN06S01A01T20160301224621t1,FALSE,3,20160301224547,34
Y11sa01,MMEN06S01A01T20160302003558t3,TRUE,3,20160302003455,62
Y11sa01,MMEN06S01A01T20160302003708t2,FALSE,3,20160302003559,68
Y11sa01,MMEN06S01A01T20160302003742t3,TRUE,3,20160302003710,31
Y11sa01,MMEN06S01A01T20160302003808t1,TRUE,3,20160302003743,24
Y11sa01,MMEN06S01A01T20160302003855t2,FALSE,3,20160302003809,45
Y11sa01,MMEN06S01A01T20160302003958t3,TRUE,3,20160302003857,60
Y11sa01,MMEN06S01A01T20160302004014t2,TRUE,3,20160302003959,15
Y11sa01,MMEN06S01A01T20160302005302t3,TRUE,3,20160302004015,82
Y11sa01,MMEN06S01A01T20160302005350t1,TRUE,3,20160302005303,46
Y11sa01,MMEN06S01A01T20160302005438t1,TRUE,4,20160302005351,47
Y11sa01,MMEN06S01A01T20160302010222t7,TRUE,4,20160302005439,462
Y11sa01,MMEN06S01A01T20160302010300t3,TRUE,4,20160302010223,36
Y11sa01,MMEN06S01A01T20160302010637t5,TRUE,4,20160302010301,216
Y11sa01,MMEN06S01A01T20160302010857t4,FALSE,4,20160302010638,138
Y11sa01,MMEN06S01A01T20160302010949t7,FALSE,4,20160302010900,49
Y11sa01,MMEN06S01A01T20160302011023t2,TRUE,4,20160302010952,31
Y11sa01,MMEN06S01A01T20160302011224t7,FALSE,4,20160302011024,119
Y11sa01,MMEN06S01A01T20160302011252t3,TRUE,4,20160302011226,25
Y11sa01,MMEN06S01A01T20160302011300t1,TRUE,4,20160302011253,7
Y11sa01,MMEN06S01A01T20160302011347t3,TRUE,4,20160302011301,45
Y11sa01,MMEN06S01A01T20160302011430t6,FALSE,4,20160302011348,42
Y11sa01,MMEN06S01A01T20160302011446t2,TRUE,4,20160302011433,12
Y11sa01,MMEN06S01A01T20160302011515t3,TRUE,4,20160302011447,28
Y11sa01,MMEN06S01A01T20160302011552t6,FALSE,4,20160302011516,36
Y11sa01,MMEN06S01A01T20160302011619t4,FALSE,4,20160302011555,24
Y11sa01,MMEN06S01A01T20160302011628t2,TRUE,4,20160302011622,6
Y11sa01,MMEN06S01A01T20160302011711t7,FALSE,4,20160302011629,41
Y11sa01,MMEN06S01A01T20160302011729t1,FALSE,4,20160302011713,15
Y11sa01,MMEN06S01A01T20160302011743t2,TRUE,4,20160302011731,11
Y11sa01,MMEN06S01A01T20160302011849t3,FALSE,4,20160302011744,65
Y11sa01,MMEN06S01A01T20160302011908t4,FALSE,4,20160302011851,16
Y11sa01,MMEN06S01A01T20160302012013t5,TRUE,4,20160302011911,62
Y11sa01,MMEN06S01A01T20160302012029t4,FALSE,4,20160302012014,14
Y11sa01,MMEN06S01A01T20160302012054t6,FALSE,4,20160302012031,22
Y11sa01,MMEN06S01A01T20160302012058t4,FALSE,4,20160302012057,1
Y11sa01,MMEN06S01A01T20160302012102t6,FALSE,4,20160302012101,1
Y11sa01,MMEN06S01A01T20160302012110t2,TRUE,4,20160302012105,5
Y11sa01,MMEN06S01A01T20160302012121t3,TRUE,4,20160302012111,10
Y11sa01,MMEN06S01A01T20160302012131t2,TRUE,4,20160302012122,9
Y11sa01,MMEN06S01A01T20160302012139t1,TRUE,4,20160302012133,6
